id,title,categoryId,seriesId,tmallUrl,sold365,image,benefits,priceNote
tmall-915657112223,飞机杯熟女倒模膜真人1比1大屁股男用可插入全自动成人男士性用品,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=915657112223&xxc=shop&mi_id=0000xv1ENES6hzHGT9qruO4wIkA6ZInVqSVDJWPt8GXDgrg,3000+,/images/products/tmall/915657112223.jpg,官方立减15% / 已降82.65元,以天猫商品页实时价格为准
tmall-856316241725,飞机杯半身娃娃倒模膜真人1比1男士自安慰器性用品可插入成人仿真,half-body,fine-texture,https://detail.tmall.com/item.htm?id=856316241725&xxc=shop&mi_id=0000-v1-VfqMhOTkqJWCe-qsXLy2RbR48LfSGQO_WKkTKCo,2000+,/images/products/tmall/856316241725.jpg,官方立减15% / 已降72元,以天猫商品页实时价格为准
tmall-900451599013,飞机杯男用腿模1比1真人实体倒模膜可插入新款充气娃娃加热下半身,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=900451599013&xxc=shop&mi_id=0000CbCcYtPa6O5BeGpJ3PjqdGX2LA7YC9NIluk7RN-lI88,1000+,/images/products/tmall/900451599013.jpg,官方立减15% / 已降61元,以天猫商品页实时价格为准
tmall-932717912766,实体半身硅胶娃娃真人倒模真实阴道熟女可插入充气成人男士性用品,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=932717912766&xxc=shop&mi_id=00002L8eXsakacgVRo3bfY3kDAxwPgISSo9rLnvgNQlLVJ0,400+,/images/products/tmall/932717912766.jpg,官方立减15% / 已降123元,以天猫商品页实时价格为准
tmall-1034711994048,飞机杯男用下半身实体娃娃腿模仿真1比1可插成人玩具男性用自慰器,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1034711994048&xxc=shop&mi_id=00008-JkO0k0OCvSqCFX_bQE0RNMbS_wB95UKNu44PjGFkg,35,/images/products/tmall/1034711994048.jpg,政府补贴5% / 官方立减15% / 已降64.2元,以天猫商品页实时价格为准
tmall-907956953396,飞机杯自慰器真人1比1熟女大屁股倒臀模可插入新款成人性玩具用品,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=907956953396&xxc=shop&mi_id=0000Hz3N-QLEI22T00odPRvzj0AcaLTMVoj6kWzjdOeAS9E,1000+,/images/products/tmall/907956953396.jpg,政府补贴5% / 官方立减15% / 已降81.25元,以天猫商品页实时价格为准
tmall-848996196197,飞机杯重口味半身倒模膜真人1比1全身娃娃充气可插入成人男士用品,half-body,fine-texture,https://detail.tmall.com/item.htm?id=848996196197&xxc=shop&mi_id=0000Pq-5y6NppbtdSCWQVAJPM7VNL7Vq0ma-Up0zqEskBPQ,500+,/images/products/tmall/848996196197.jpg,官方立减15% / 已降118元,以天猫商品页实时价格为准
tmall-1055031288751,飞机杯男用自慰器真人半身倒模真实通道成人情趣性用品玩具插入式,half-body,fine-texture,https://detail.tmall.com/item.htm?id=1055031288751&xxc=shop&mi_id=0000Y4PfnPkke6sizwBo0KHOYJcjaOyN0yQtIGpmrH5KEB4,54,/images/products/tmall/1055031288751.jpg,已降50元,以天猫商品页实时价格为准
tmall-1003179680764,半身全腿娃娃飞机杯男用真人倒模可插入实体全身硅胶1比1成人用品,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1003179680764&xxc=shop&mi_id=00004BruTb0fuSZXVM65NlWsFikAUT_AXAXhLT9QP-KRbns,100+,/images/products/tmall/1003179680764.jpg,官方立减15% / 已降295元,以天猫商品页实时价格为准
tmall-1033146604001,飞机杯硅胶实体半身娃娃可插入欧美重口味真人倒模成人男用自慰器,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1033146604001&xxc=shop&mi_id=0000HvSfDF13zLGvV5AY-kqNIWdoP72Mdleo_3kCSp8KdCo,40,/images/products/tmall/1033146604001.jpg,官方立减15% / 已降302元,以天猫商品页实时价格为准
tmall-864339322176,飞机杯阴臀倒模膜男用熟女真人版可插入双通道新款成人男士性用品,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=864339322176&xxc=shop&mi_id=0000w7p6eoBRqgTFA7NatCexYwaxiJLIPzLEhzKc8JrHJV8,600+,/images/products/tmall/864339322176.jpg,政府补贴5% / 官方立减15% / 已降65.65元,以天猫商品页实时价格为准
tmall-1008749329121,飞机杯新款硅胶屁股倒模男用1比1熟女真人版可插入成人玩具自慰器,hip-lower-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1008749329121&xxc=shop&mi_id=0000y-A2JA5Kk22mFo3sG6hleoaKwmfokculqKsjniUZ2U0,100+,/images/products/tmall/1008749329121.jpg,政府补贴5% / 官方立减15% / 已降141.8元,以天猫商品页实时价格为准
tmall-997868122989,全自动加热超大屁股倒模男用真人熟女欧美款可插入成人男性飞机杯,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=997868122989&xxc=shop&mi_id=0000tzDwX3LKgMdVaVgc7AFVdhjc5nULJuqE3HbK6SzWUT0,100+,/images/products/tmall/997868122989.png,官方立减15% / 已降145元,以天猫商品页实时价格为准
tmall-978357698377,硅胶半身倒模膜新款实体娃娃男用真人熟女版可插入成人男士飞机杯,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=978357698377&xxc=shop&mi_id=0000IE11FAKcDFJEyJlEEmBACDUzEqKPSnRxoW1IiR5ZhPA,200+,/images/products/tmall/978357698377.png,政府补贴5% / 官方立减15% / 已降158.45元,以天猫商品页实时价格为准
tmall-1037741386848,飞机杯男用真人倒模膜实体半身娃娃可插入自慰器1比1成人情趣用品,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1037741386848&xxc=shop&mi_id=0000Ez8S9bAR0l1VRx3Ee5nWDw-W2KF8c4A22trKS36iXU8,30,/images/products/tmall/1037741386848.jpg,官方立减15% / 已降112元,以天猫商品页实时价格为准
tmall-903284452343,全自动超大屁股倒模飞机杯真实真人1比1可插肥臀成人男士用品玩具,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=903284452343&xxc=shop&mi_id=0000qEm3cQgwhvi-Qz2FWDJufw-2l49uqFXucLsM8uQzlaQ,100+,/images/products/tmall/903284452343.jpg,官方立减15% / 已降41元,以天猫商品页实时价格为准
tmall-974064324737,电动飞机杯可加热男用自慰器熟女真实1比1可插入手动无声成人玩具,other,beginner,https://detail.tmall.com/item.htm?id=974064324737&xxc=shop&mi_id=0000q7ZBmkIIcg2njdCkmRILDHcvRWYJwADVtkGXwpsu10g,600+,/images/products/tmall/974064324737.jpg,政府补贴5% / 官方立减15% / 已降86.15元,以天猫商品页实时价格为准
tmall-1015501179254,液态乳房硅胶男用飞机杯真实可插入1比1真人倒模仿真胸膜成人用品,local-mold,native-skin-silicone,https://detail.tmall.com/item.htm?id=1015501179254&xxc=shop&mi_id=0000cVg_K9Hr9a2iwR0_n3X-b_1UMkpuMDYt9X6l5khlLMI,84,/images/products/tmall/1015501179254.jpg,官方立减15% / 已降130元,以天猫商品页实时价格为准
tmall-1049922662436,半身倒模飞机杯重口味真人实体娃娃1比1可插入成人男用性自慰玩具,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1049922662436&xxc=shop&mi_id=0000Favi-_jTQrtD-MYHqyrpZvFPio5jA_vZZxtPTj-6Xhk,7,/images/products/tmall/1049922662436.jpg,政府补贴5% / 官方立减15% / 已降128.75元,以天猫商品页实时价格为准
tmall-1032948274589,飞机杯半腿倒模臀部真人1比1可插入双通道男性自慰名器成人性用品,half-body,fine-texture,https://detail.tmall.com/item.htm?id=1032948274589&xxc=shop&mi_id=0000lRorvsD7F3d1XFivy8Y4ju4Bslxe3PBMm3ICsi_IoCM,30,/images/products/tmall/1032948274589.jpg,政府补贴5% / 官方立减15% / 已降141.1元,以天猫商品页实时价格为准
tmall-900429175999,飞机杯真人大屁股真实夹吸阴道男用倒模半身可插入成人男士性用品,half-body,fine-texture,https://detail.tmall.com/item.htm?id=900429175999&xxc=shop&mi_id=0000qfldpuQskRqfWr1q2PIzL2V6y4GhWWbwSTn_xg8CgTs,23,/images/products/tmall/900429175999.jpg,官方立减15% / 满2件9.5折 / 已降79元,以天猫商品页实时价格为准
tmall-851429867792,半身倒模收纳带【可装密码锁】隐私方便收藏,care-accessories,fine-texture,https://detail.tmall.com/item.htm?id=851429867792&xxc=shop&mi_id=0000XMLAWi5r_xmyA0sELN9mmsQXJyt8OLKQM_0qup9gecY,100+,/images/products/tmall/851429867792.jpg,官方立减15% / 已降2.7元,以天猫商品页实时价格为准
tmall-956711010507,飞机杯真人倒模半身娃娃可插入实体成人男用品脱敏训练情趣自慰器,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=956711010507&xxc=shop&mi_id=0000UA34SETG75-JsHaNI2ICUWVXM-Oe0ABLKRqr2uF1usE,300+,/images/products/tmall/956711010507.jpg,政府补贴5% / 官方立减15% / 已降228.95元,以天猫商品页实时价格为准
tmall-1047503838777,蜜女郎重磅大屁股臀膜1比1真人复刻成人性用品私密陪伴实体娃娃,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1047503838777&xxc=shop&mi_id=0000bT14YUirHDeuLOAoxP59741ED9I--8NBQEMv1C2SJgY,5,/images/products/tmall/1047503838777.jpg,官方立减15% / 已降443元,以天猫商品页实时价格为准
tmall-1046323454771,自动加热飞机杯真人复刻硅胶大屁股倒模男性专用成人玩具实体娃娃,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1046323454771&xxc=shop&mi_id=00000HYmf_I7uDDITMnr9teQZMMkHdLmZ41CNbwEBReWcN8,4,/images/products/tmall/1046323454771.jpg,官方立减15% / 已降123元,以天猫商品页实时价格为准
tmall-935751348502,全自动飞机杯男用可插入无声电动伸缩加热成人用品自慰情趣训练器,other,beginner,https://detail.tmall.com/item.htm?id=935751348502&xxc=shop&mi_id=0000qqc5IV8zPhDD0n8MTiOrYr1LUxV4IkK8pUcoEf1BnwI,81,/images/products/tmall/935751348502.jpg,政府补贴5% / 官方立减15% / 已降181.4元,以天猫商品页实时价格为准
tmall-839593996256,全自动硅胶大大屁股倒模飞机杯1比1可插入自慰器成人用品新款玩具,hip-lower-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=839593996256&xxc=shop&mi_id=0000oDjxjq3Ie70oj_-arhgfZCEne4Vqv0ZYhMoN1FuDLGg,86,/images/products/tmall/839593996256.png,官方立减15% / 已降150元,以天猫商品页实时价格为准
tmall-1026704244735,高端硅胶娃娃重口味可插入1比1真人倒模实体半身男性用成人飞机杯,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1026704244735&xxc=shop&mi_id=0000To6SQStpxH-606_SnPAs3DjTNpcHvtsziZ8Ad2yIOME,5,/images/products/tmall/1026704244735.jpg,官方立减15% / 已降820元,以天猫商品页实时价格为准
tmall-1037064556812,飞机杯男用全自动仿真倒模熟女互动玩具自慰神器男成人性玩具用品,other,fine-texture,https://detail.tmall.com/item.htm?id=1037064556812&xxc=shop&mi_id=00003__QRIW0XEva7JCop0dZGl65GpDYinrqa4S0XlyJn8s,25,/images/products/tmall/1037064556812.jpg,政府补贴5% / 已降37.05元,以天猫商品页实时价格为准
tmall-966709910145,半身飞机杯男用重口味真人倒模熟女实体硅胶娃娃可插入成人性玩具,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=966709910145&xxc=shop&mi_id=0000t8Kv-4_eJ_72pM6P8ca-ukchzpGAyrtM_Bn3s4mx5tc,68,/images/products/tmall/966709910145.jpg,官方立减15% / 已降147元,以天猫商品页实时价格为准
