productId,currentDisplayName,tmallUrl,jdUrl,category,currentImage,requiredImages,priority,notes
"tmall-915657112223","自动臀部倒模款","","","","/images/products/tmall-915657112223/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-856316241725","半身倒模款","","","","/images/products/tmall-856316241725/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-900451599013","半身倒模款","","","","/images/products/tmall/900451599013.jpg","???1?; ????1?; ???????1?; ???2-4?","high","???? approved ?????????????????????????"
"tmall-932717912766","半身倒模款","","","","/images/products/tmall-932717912766/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1034711994048","半身倒模款","","","","/images/products/tmall-1034711994048/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-907956953396","臀部倒模款","","","","/images/products/tmall-907956953396/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-848996196197","半身倒模款","","","","/images/products/tmall-848996196197/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1055031288751","半身倒模款","","","","/images/products/tmall-1055031288751/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1003179680764","半身倒模款","","","","/images/products/tmall/1003179680764.jpg","???1?; ????1?; ???????1?; ???2-4?","high","???? approved ?????????????????????????"
"tmall-1033146604001","半身倒模款","","","","/images/products/tmall-1033146604001/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-864339322176","臀部倒模款","","","","/images/products/tmall-864339322176/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1008749329121","臀部倒模款","","","","/images/products/tmall/1008749329121.jpg","???1?; ????1?; ???????1?; ???2-4?","high","???? approved ?????????????????????????"
"tmall-997868122989","自动臀部倒模款","","","","/images/products/tmall-997868122989/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-978357698377","半身倒模款","","","","/images/products/tmall-978357698377/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1037741386848","半身倒模款","","","","/images/products/tmall-1037741386848/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-903284452343","自动臀部倒模款","","","","/images/products/tmall/903284452343.jpg","???1?; ????1?; ???????1?; ???2-4?","high","???? approved ?????????????????????????"
"tmall-974064324737","官方在售款","","","","/images/products/tmall-974064324737/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1015501179254","局部倒模款","","","","/images/products/tmall-1015501179254/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1049922662436","半身倒模款","","","","/images/products/tmall-1049922662436/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1032948274589","半身倒模款","","","","/images/products/tmall-1032948274589/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-900429175999","半身倒模款","","","","/images/products/tmall-900429175999/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-851429867792","护理收纳配件","","","","/images/products/tmall-851429867792/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-956711010507","半身倒模款","","","","/images/products/tmall-956711010507/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1047503838777","半身倒模款","","","","/images/products/tmall-1047503838777/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1046323454771","半身倒模款","","","","/images/products/tmall-1046323454771/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-935751348502","官方在售款","","","","/images/products/tmall-935751348502/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-839593996256","自动臀部倒模款","","","","/images/products/tmall-839593996256/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1026704244735","半身倒模款","","","","/images/products/tmall-1026704244735/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-1037064556812","官方在售款","","","","/images/products/tmall-1037064556812/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"
"tmall-966709910145","半身倒模款","","","","/images/products/tmall-966709910145/approved/cover.webp","???????????; ??????2-4?","medium","??????????????????????????????????????????"